points error
4 1.2224e+00
6 5.2184e-01
8 2.0853e-01
10 7.3068e-02
12 2.1908e-02
14 5.5378e-03
16 1.1532e-03
18 1.8274e-04
20 1.4381e-05
22 3.5544e-06
24 2.1653e-06
26 7.0246e-07
28 1.8120e-07
30 4.0873e-08
32 8.3980e-09
34 1.6052e-09
36 2.8867e-10
38 4.9193e-11
40 8.0055e-12
42 1.2562e-12
44 1.9166e-13
46 2.8216e-14
48 4.0309e-15
50 3.9009e-16
52 1.3003e-16
54 2.6006e-16
56 1.3003e-16
58 1.3003e-16
60 1.3003e-16
62 1.3003e-16
64 0.0000e+00
66 0.0000e+00
68 0.0000e+00
70 1.3003e-16
72 2.6006e-16
74 2.6006e-16
76 1.3003e-16
78 0.0000e+00
80 2.6006e-16
82 1.3003e-16
84 0.0000e+00
86 1.3003e-16
88 1.3003e-16
