points flops error
4 6.0400e+02 7.7407e-02
6 8.3200e+02 1.5205e-01
8 1.0600e+03 1.2468e-01
10 1.2880e+03 5.5472e-02
12 1.5160e+03 1.8000e-02
14 1.7440e+03 4.6418e-03
16 1.9720e+03 9.9651e-04
18 2.2000e+03 1.8023e-04
20 2.4280e+03 2.6862e-05
22 2.6560e+03 2.9248e-06
24 2.8840e+03 7.6219e-08
26 3.1120e+03 7.3575e-08
28 3.3400e+03 2.7839e-08
30 3.5680e+03 7.1307e-09
32 3.7960e+03 1.5430e-09
34 4.0240e+03 3.0115e-10
36 4.2520e+03 5.4577e-11
38 4.4800e+03 9.3276e-12
40 4.7080e+03 1.5197e-12
42 4.9360e+03 2.3758e-13
44 5.1640e+03 3.5977e-14
46 5.3920e+03 4.7516e-15
48 5.6200e+03 3.3940e-16
50 5.8480e+03 0.0000e+00
52 6.0760e+03 1.1879e-15
54 6.3040e+03 1.6970e-16
56 6.5320e+03 5.0910e-16
58 6.7600e+03 1.0182e-15
60 6.9880e+03 1.6970e-16
62 7.2160e+03 8.4851e-16
64 7.4440e+03 3.3940e-16
66 7.6720e+03 5.0910e-16
68 7.9000e+03 5.0910e-16
70 8.1280e+03 3.3940e-16
72 8.3560e+03 0.0000e+00
74 8.5840e+03 3.3940e-16
76 8.8120e+03 8.4851e-16
78 9.0400e+03 1.6970e-16
80 9.2680e+03 5.0910e-16
82 9.4960e+03 1.6970e-16
84 9.7240e+03 3.3940e-16
86 9.9520e+03 3.3940e-16
88 1.0180e+04 5.0910e-16
