points flops error
4 4.8400e+02 7.1601e-01
6 6.7600e+02 6.2668e-02
8 8.6800e+02 6.8763e-03
10 1.0600e+03 1.8697e-01
12 1.2520e+03 4.7464e-01
14 1.4440e+03 6.7798e-01
16 1.6360e+03 6.6360e-01
18 1.8280e+03 4.9695e-01
20 2.0200e+03 2.9840e-01
22 2.2120e+03 1.4195e-01
24 2.4040e+03 4.6554e-02
26 2.5960e+03 7.9391e-04
28 2.7880e+03 1.4671e-02
30 2.9800e+03 1.5683e-02
32 3.1720e+03 1.1793e-02
34 3.3640e+03 7.4802e-03
36 3.5560e+03 4.2400e-03
38 3.7480e+03 2.2051e-03
40 3.9400e+03 1.0674e-03
42 4.1320e+03 4.8507e-04
44 4.3240e+03 2.0812e-04
46 4.5160e+03 8.4617e-05
48 4.7080e+03 3.2685e-05
50 4.9000e+03 1.2015e-05
52 5.0920e+03 4.2068e-06
54 5.2840e+03 1.4031e-06
56 5.4760e+03 4.4526e-07
58 5.6680e+03 1.3398e-07
60 5.8600e+03 3.7954e-08
62 6.0520e+03 9.9740e-09
64 6.2440e+03 2.3567e-09
66 6.4360e+03 4.6280e-10
68 6.6280e+03 5.4842e-11
70 6.8200e+03 9.6874e-12
72 7.0120e+03 1.0230e-11
74 7.2040e+03 4.8922e-12
76 7.3960e+03 1.8673e-12
78 7.5880e+03 6.3904e-13
80 7.7800e+03 2.0909e-13
82 7.9720e+03 6.7069e-14
84 8.1640e+03 2.2559e-14
86 8.3560e+03 7.0344e-15
88 8.5480e+03 2.1831e-15
90 8.7400e+03 8.4898e-16
92 8.9320e+03 4.8513e-16
94 9.1240e+03 4.8513e-16
96 9.3160e+03 1.2128e-16
98 9.5080e+03 7.2769e-16
100 9.7000e+03 1.2128e-16
102 9.8920e+03 1.2128e-16
