points flops error
4 5.2000e+02 3.8647e+01
6 7.2000e+02 1.6436e+01
8 9.2000e+02 8.7378e+00
10 1.1200e+03 5.2098e+00
12 1.3200e+03 3.3217e+00
14 1.5200e+03 2.2088e+00
16 1.7200e+03 1.5079e+00
18 1.9200e+03 1.0444e+00
20 2.1200e+03 7.2605e-01
22 2.3200e+03 5.0080e-01
24 2.5200e+03 3.3781e-01
26 2.7200e+03 2.1801e-01
28 2.9200e+03 1.2918e-01
30 3.1200e+03 6.3162e-02
32 3.3200e+03 1.4365e-02
34 3.5200e+03 2.1220e-02
36 3.7200e+03 4.6552e-02
38 3.9200e+03 6.3885e-02
40 4.1200e+03 7.4975e-02
42 4.3200e+03 8.1222e-02
44 4.5200e+03 8.3754e-02
46 4.7200e+03 8.3484e-02
48 4.9200e+03 8.1153e-02
50 5.1200e+03 7.7363e-02
52 5.3200e+03 7.2595e-02
54 5.5200e+03 6.7231e-02
56 5.7200e+03 6.1570e-02
58 5.9200e+03 5.5842e-02
60 6.1200e+03 5.0215e-02
62 6.3200e+03 4.4814e-02
64 6.5200e+03 3.9721e-02
66 6.7200e+03 3.4989e-02
68 6.9200e+03 3.0648e-02
70 7.1200e+03 2.6706e-02
72 7.3200e+03 2.3160e-02
74 7.5200e+03 1.9996e-02
76 7.7200e+03 1.7194e-02
78 7.9200e+03 1.4727e-02
80 8.1200e+03 1.2569e-02
82 8.3200e+03 1.0691e-02
84 8.5200e+03 9.0642e-03
86 8.7200e+03 7.6621e-03
88 8.9200e+03 6.4585e-03
90 9.1200e+03 5.4292e-03
92 9.3200e+03 4.5523e-03
94 9.5200e+03 3.8077e-03
96 9.7200e+03 3.1775e-03
98 9.9200e+03 2.6457e-03
100 1.0120e+04 2.1982e-03
102 1.0320e+04 1.8227e-03
104 1.0520e+04 1.5083e-03
106 1.0720e+04 1.2459e-03
108 1.0920e+04 1.0272e-03
110 1.1120e+04 8.4543e-04
112 1.1320e+04 6.9466e-04
114 1.1520e+04 5.6984e-04
116 1.1720e+04 4.6672e-04
118 1.1920e+04 3.8167e-04
120 1.2120e+04 3.1166e-04
122 1.2320e+04 2.5413e-04
124 1.2520e+04 2.0692e-04
126 1.2720e+04 1.6826e-04
128 1.2920e+04 1.3664e-04
130 1.3120e+04 1.1082e-04
132 1.3320e+04 8.9762e-05
134 1.3520e+04 7.2618e-05
136 1.3720e+04 5.8678e-05
138 1.3920e+04 4.7358e-05
140 1.4120e+04 3.8177e-05
142 1.4320e+04 3.0742e-05
